date,steps,total_exercise_minutes,lift_minutes,stand_hours,sleep,active_calories,resting_calories,total_calories,walk_distance,resting_HR,did_lift
2/1/18,10459,68,0,13,7,450,1478,1928,5.3,55,0
2/2/18,7820,73,24,14,7,497,1473,1970,3.9,51,1
2/3/18,10879,51,0,13,5,480,1502,1982,5.2,51,0
2/4/18,8022,114,52,12,7,666,1485,2151,4,62,1
2/5/18,13739,52,30,15,8,471,1484,1955,6.4,54,1
2/6/18,7535,36,0,13,7,390,1462,1852,3.7,53,0
2/7/18,10873,114,69,15,8,699,1489,2188,5.1,53,1
2/8/18,7662,35,0,13,7,350,1454,1804,3.6,56,0
2/9/18,13829,156,,15,8,875,1506,2381,6.8,52,1
2/10/18,8077,30,0,15,9,311,1445,1756,3.9,53,0
2/11/18,4652,12,0,12,6,246,1443,1689,2.2,53,0
2/12/18,12277,148,55,16,7,910,1504,2414,5.9,51,1
2/13/18,10613,62,0,16,6,477,1516,1993,5.2,58,0
2/14/18,12352,131,55,14,9,828,1496,2324,6.1,53,1
2/15/18,7340,38,0,14,9,391,1486,1877,3.7,51,0
2/16/18,8899,95,40,13,7,743,1482,2225,4.4,49,1
2/17/18,5789,23,0,15,10,297,1457,1754,2.8,51,0
2/18/18,10682,68,52,16,6,502,1508,2010,5.3,51,1
2/19/18,11439,59,45,14,7,420,1464,1884,5.5,50,1
2/20/18,10395,43,0,15,4,491,1524,2015,5.1,52,0
2/21/18,13086,122,60,14,5,578,1490,2068,6.2,53,1
2/22/18,5355,18,0,12,5,266,1437,1703,2.5,55,0
2/23/18,11781,152,66,14,6,1022,1517,2539,5.6,51,1
2/24/18,5158,4,0,12,5,249,1492,1741,2.3,59,0
2/25/18,9652,35,0,14,7,394,1495,1889,4.4,58,0
2/26/18,14222,139,58,13,7,938,1510,2448,6.5,52,1
2/27/18,10870,62,38,14,8,498,1497,1995,5.2,53,1
2/28/18,10020,124,57,13,7,823,1487,2310,5,53,1
