date,steps,exercise_minutes,stand_hours,sleep,active_calories,resting_calories,total_calories,walk_distance,resting_hr,did_lift
19-Jan,12161,73,12,8,475,1462,1937,6,50,
20-Jan,2986,35,11,10,278,1434,1712,1.4,50,
21-Jan,8479,54,9,7,368,1441,1809,4.3,51,
22-Jan,11570,143,14,6,919,1504,2423,5.7,49,
23-Jan,6304,29,12,7,322,1464,1786,3.1,55,
24-Jan,10933,94,11,7,654,1487,2141,5.3,51,
25-Jan,10885,63,9,7,419,1465,1884,5.3,53,
26-Jan,10191,114,12,10,781,1479,2260,5.2,52,
27-Jan,6282,42,8,10,343,1445,1788,3.1,52,
28-Jan,1955,2,5,10,110,1393,1503,0.99,50,
29-Jan,11153,72,13,7,484,1484,1968,5.4,52,
30-Jan,5237,22,11,7,233,1429,1662,2.5,57,
31-Jan,12433,75,11,7,502,1483,1985,6.1,52,
,,,,,,,,,,
,,,,,,,,,,
