AnimalID,Name,DateTime,OutcomeType,OutcomeSubtype,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color,AgeuponOutcomeInMonths,OutcomeMonth
A671945,Hambone,2/12/14 18:22,Return_to_owner,,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White,12,2
A656520,Emily,10/13/13 12:44,Euthanasia,Suffering,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby,12,10
A686464,Pearce,1/31/15 12:28,Adoption,Foster,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White,24,1
A683430,,7/11/14 19:09,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream,0.75,7
A667013,,11/15/13 12:52,Transfer,Partner,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan,24,11
A677334,Elsa,4/25/14 13:04,Transfer,Partner,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan,1,4
A699218,Jimmy,3/28/15 13:11,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby,0.75,3
A701489,,4/30/15 17:02,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,4
A671784,Lucy,2/4/14 17:17,Adoption,,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White,5,2
A677747,,5/3/14 7:48,Adoption,Offsite,Dog,Spayed Female,1 year,Cairn Terrier,White,12,5
A668402,,12/5/13 15:50,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,24,12
A666320,,11/4/13 14:48,Adoption,,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver,24,11
A684601,Rocket,2/3/16 11:27,Adoption,Foster,Dog,Neutered Male,4 years,Pit Bull Mix,Brown,48,2
A704702,Scooter,6/8/15 16:30,Return_to_owner,,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red,24,6
A688584,Preston,11/25/15 15:00,Return_to_owner,,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream,12,11
A678825,Oliver,7/12/14 12:10,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White,3,7
A678050,,5/3/14 16:15,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby,0.75,5
A680028,,6/7/14 12:54,Transfer,Partner,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White,0.5,6
A679010,Chrissy,5/17/14 11:32,Transfer,Partner,Cat,Intact Female,2 years,Angora Mix,White,24,5
A684787,Kuma,7/30/14 17:34,Return_to_owner,,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black,12,7
A670658,Anders,1/19/14 15:03,Transfer,Partner,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White,2,1
A708812,Munchkin,9/18/15 15:19,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White,12,9
A705262,Jamaica,8/15/15 14:22,Adoption,,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White,24,8
A665781,Quattro,10/28/13 16:32,Adoption,,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White,10,10
A676333,Trigger,4/9/14 17:44,Return_to_owner,,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown,2,4
A712750,Olive,10/3/15 15:44,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby,1,10
